sourceDomainId,targetDomainId,created,dataSources,omimFlags,score,type,updated
entrez.2,mondo.0004975,2023-04-02T22:38:59.813000,['disgenet'],[],0.5,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.2,mondo.0021063,2023-04-02T22:38:59.813000,['disgenet'],[],0.31,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.2,mondo.0005401,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.2,mondo.0010200,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.2,mondo.0005155,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.2,mondo.0005377,2023-04-02T22:38:59.813000,['disgenet'],[],0.51,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.2,mondo.0018902,2023-04-02T22:38:59.813000,['disgenet'],[],0.5,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.9,mondo.0001187,2023-04-02T22:38:59.813000,['disgenet'],[],0.4,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.9,mondo.0004987,2023-04-02T22:38:59.813000,['disgenet'],[],0.4,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.9,mondo.0004992,2023-04-02T22:38:59.813000,['disgenet'],[],0.4,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.9,mondo.0006589,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.9,mondo.0008315,2023-04-02T22:38:59.813000,['disgenet'],[],0.36,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.10,mondo.0001187,2023-04-02T22:38:59.813000,['disgenet'],[],0.4,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.10,mondo.0004987,2023-04-02T22:38:59.813000,['disgenet'],[],0.4,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.10,mondo.0009106,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.10,mondo.0003785,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.10,mondo.0024477,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.10,mondo.0006589,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.10,mondo.0018968,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.10,mondo.0018969,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.10,mondo.0002691,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.10,mondo.0006292,2023-04-02T22:38:59.813000,['disgenet'],[],0.34,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.10,mondo.0008315,2023-04-02T22:38:59.813000,['disgenet'],[],0.4,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.10,mondo.0004989,2023-04-02T22:38:59.813000,['disgenet'],[],0.4,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.10,mondo.0005010,2023-04-02T22:38:59.813000,['disgenet'],[],0.31,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.12,mondo.0008315,2023-04-02T22:38:59.813000,['disgenet'],[],0.34,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.15,mondo.0024377,2023-04-02T22:38:59.813000,['disgenet'],[],0.31,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.16,mondo.0013212,2023-04-02T22:38:59.813000,['disgenet'],[],0.71,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.16,mondo.0014593,2023-04-02T22:38:59.813000,['disgenet'],[],0.7,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.18,mondo.0007186,2023-04-02T22:38:59.813000,['disgenet'],[],0.31,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.18,mondo.0001386,2023-04-02T22:38:59.813000,['disgenet'],[],0.5,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.18,mondo.0013166,2023-04-02T22:38:59.813000,['disgenet'],[],0.7,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.19,mondo.0005300,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.19,mondo.0008783,2023-04-02T22:38:59.813000,['disgenet'],[],1.0,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.19,mondo.0017773,2023-04-02T22:38:59.813000,['disgenet'],[],0.4,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.21,mondo.0700081,2023-04-02T22:38:59.813000,['disgenet'],[],0.4,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.21,mondo.0002771,2023-04-02T22:38:59.813000,['disgenet'],[],0.42,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.21,mondo.0012582,2023-04-02T22:38:59.813000,['disgenet'],[],0.7,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.22,mondo.0015194,2023-04-02T22:38:59.813000,['disgenet'],[],0.43,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.22,mondo.0010524,2023-04-02T22:38:59.813000,['disgenet'],[],0.74,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.23,mondo.0005249,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.23,mondo.0005271,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.24,mondo.0005328,2023-04-02T22:38:59.813000,['disgenet'],[],0.34,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.24,mondo.0019200,2023-04-02T22:38:59.813000,['disgenet'],[],0.7,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.24,mondo.0005150,2023-04-02T22:38:59.813000,['disgenet'],[],0.7,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.24,mondo.0019353,2023-04-02T22:38:59.813000,['disgenet'],[],1.0,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.24,mondo.0011395,2023-04-02T22:38:59.813000,['disgenet'],[],0.9,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.24,mondo.0011137,2023-04-02T22:38:59.813000,['disgenet'],[],0.8,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.24,mondo.0007932,2023-04-02T22:38:59.813000,['disgenet'],[],0.7,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.25,mondo.0004970,2023-04-02T22:38:59.813000,['disgenet'],[],0.3,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
entrez.25,mondo.0007243,2023-04-02T22:38:59.813000,['disgenet'],[],0.32,GeneAssociatedWithDisorder,2023-04-02T22:38:59.813000
