primaryDomainId,casNumber,created,dataSources,description,displayName,domainIds,drugCategories,drugGroups,indication,synonyms,type,updated
drugbank.DB00001,138068-37-8,2023-04-02T22:16:52.704000,['drugbank'],,Lepirudin,"['drugbank.DB00001', 'drug_central.2995']",[],[],,[],Drug,2023-04-02T22:16:52.704000
drugbank.DB00002,205923-56-4,2023-04-02T22:16:52.704000,['drugbank'],,Cetuximab,"['drugbank.DB00002', 'drug_central.4954']",[],[],,[],Drug,2023-04-02T22:16:52.704000
drugbank.DB00003,143831-71-4,2023-04-02T22:16:52.705000,['drugbank'],,Dornase alfa,"['drugbank.DB00003', 'drug_central.5135']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00004,173146-27-5,2023-04-02T22:16:52.705000,['drugbank'],,Denileukin diftitox,"['drugbank.DB00004', 'drug_central.5087']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00005,185243-69-0,2023-04-02T22:16:52.705000,['drugbank'],,Etanercept,"['drugbank.DB00005', 'drug_central.4978']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00006,128270-60-0,2023-04-02T22:16:52.705000,"['drugbank', 'chembl', 'unichem']",,Bivalirudin,"['drugbank.DB00006', 'drug_central.385', 'pubchem.101041682', 'pubchem.73952246', 'pubchem.16129704']",[],['approved'],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00007,53714-56-0,2023-04-02T22:16:52.705000,"['drugbank', 'chembl', 'unichem']",,Leuprolide,"['drugbank.DB00007', 'drug_central.1559', 'pubchem.657181']",[],['approved'],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00008,198153-51-4,2023-04-02T22:16:52.705000,['drugbank'],,Peginterferon alfa-2a,"['drugbank.DB00008', 'drug_central.5158']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00009,105857-23-6,2023-04-02T22:16:52.705000,['drugbank'],,Alteplase,"['drugbank.DB00009', 'drug_central.5141']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00010,86168-78-7,2023-04-02T22:16:52.705000,['drugbank'],,Sermorelin,"['drugbank.DB00010', 'drug_central.2433']",[],[],,[],Drug,2023-04-02T22:16:52.705000
