Symptom_CUI	Symptom_Name	Gene_Symbol	Source
C0270327	Bed wetting	ENUR1	DisGeNet
C4018871	Abnormality of the respiratory system	MPZ	DisGeNet
C4018871	Abnormality of the respiratory system	NODAL	DisGeNet
C4018871	Abnormality of the respiratory system	KYNU	DisGeNet
C4018871	Abnormality of the respiratory system	TSC1	DisGeNet
C0392676	Hyperpyrexia	CACNA1S	Disease-Connect
C0392676	Hyperpyrexia	RYR1	Disease-Connect
C0497406	Over weight	LEPR	DisGeNet
C0973461	Dysphasia	MECP2	DisGeNet
C0973461	Dysphasia	PSEN1	DisGeNet
C0973461	Dysphasia	SEC24C	DisGeNet
C0973461	Dysphasia	RREB1	DisGeNet
C0973461	Dysphasia	TREM2	DisGeNet
C0973461	Dysphasia	STS	DisGeNet
C0973461	Dysphasia	VCP	DisGeNet
C0973461	Dysphasia	CHMP2B	DisGeNet
C0973461	Dysphasia	SQSTM1	DisGeNet
C0973461	Dysphasia	UFD1	DisGeNet
C0973461	Dysphasia	COMT	DisGeNet
C0973461	Dysphasia	ARVCF	DisGeNet
C0973461	Dysphasia	ATRX	DisGeNet
C0973461	Dysphasia	GRIN2A	DisGeNet
C0973461	Dysphasia	CACNA1A	DisGeNet
C0973461	Dysphasia	GRN	DisGeNet
C0973461	Dysphasia	MAPT	DisGeNet
C0973461	Dysphasia	TBX1	DisGeNet
C0973461	Dysphasia	RAI1	DisGeNet
C0973461	Dysphasia	ATP1A2	DisGeNet
C0973461	Dysphasia	OCRL	DisGeNet
C0973461	Dysphasia	HIRA	DisGeNet
C0973461	Dysphasia	GP1BB	DisGeNet
C0917816	Deficiency mental	GLDC	DisGeNet
C0917816	Deficiency mental	PAH	DisGeNet
C0917816	Deficiency mental	AVPR2	DisGeNet
C0917816	Deficiency mental	RP9	DisGeNet
C0917816	Deficiency mental	RHO	DisGeNet
C0917816	Deficiency mental	NEK2	DisGeNet
C0917816	Deficiency mental	RPGR	DisGeNet
C0917816	Deficiency mental	PDHA1	DisGeNet
C0917816	Deficiency mental	TINF2	DisGeNet
C0917816	Deficiency mental	AHDC1	DisGeNet
C0917816	Deficiency mental	ABCA4	DisGeNet
C0917816	Deficiency mental	GABRB3	DisGeNet
C0917816	Deficiency mental	C2CD3	DisGeNet
C0917816	Deficiency mental	RFC2	DisGeNet
C0917816	Deficiency mental	DGCR2	DisGeNet
C0917816	Deficiency mental	FRG1	DisGeNet
C0917816	Deficiency mental	DAG1	DisGeNet
C0917816	Deficiency mental	NPC2	DisGeNet
C0917816	Deficiency mental	WFS1	DisGeNet
C0917816	Deficiency mental	SLC12A6	DisGeNet
C0917816	Deficiency mental	NDST1	DisGeNet
C0917816	Deficiency mental	ERCC6	DisGeNet
C0917816	Deficiency mental	ATRX	DisGeNet
C0917816	Deficiency mental	MYO7A	DisGeNet
C0917816	Deficiency mental	SNAP29	DisGeNet
C0917816	Deficiency mental	DNM1	DisGeNet
C0917816	Deficiency mental	CNNM2	DisGeNet
C0917816	Deficiency mental	SNRPN	DisGeNet
C0917816	Deficiency mental	TUBGCP4	DisGeNet
C0917816	Deficiency mental	AKT1	DisGeNet
C0917816	Deficiency mental	EIF2AK3	DisGeNet
C0917816	Deficiency mental	KIAA0586	DisGeNet
C0917816	Deficiency mental	CIB2	DisGeNet
C0917816	Deficiency mental	ORC1	DisGeNet
C0917816	Deficiency mental	TRIM32	DisGeNet
C0917816	Deficiency mental	PMPCA	DisGeNet
C0917816	Deficiency mental	FANCC	DisGeNet
C0917816	Deficiency mental	MAP2K2	DisGeNet
C0917816	Deficiency mental	MYO5A	DisGeNet
C0917816	Deficiency mental	AHI1	DisGeNet
C0917816	Deficiency mental	SBDS	DisGeNet
C0917816	Deficiency mental	OFD1	DisGeNet
C0917816	Deficiency mental	USH2A	DisGeNet
C0917816	Deficiency mental	ERCC2	DisGeNet
C0917816	Deficiency mental	TSC2	DisGeNet
C0917816	Deficiency mental	STS	DisGeNet
C0917816	Deficiency mental	EZH2	DisGeNet
C0917816	Deficiency mental	FTSJ1	DisGeNet
C0917816	Deficiency mental	FTCD	DisGeNet
C0917816	Deficiency mental	PSPH	DisGeNet
C0917816	Deficiency mental	GJA5	DisGeNet
C0917816	Deficiency mental	ATP6AP2	DisGeNet
C0917816	Deficiency mental	AUTS2	DisGeNet
C0917816	Deficiency mental	PPP2R1A	DisGeNet
C0917816	Deficiency mental	HPRT1	DisGeNet
C0917816	Deficiency mental	FANCA	DisGeNet
C0917816	Deficiency mental	GUCY2D	DisGeNet
C0917816	Deficiency mental	PROM1	DisGeNet
C0917816	Deficiency mental	SPR	DisGeNet
C0917816	Deficiency mental	PURA	DisGeNet
C0917816	Deficiency mental	BBS7	DisGeNet
C0917816	Deficiency mental	OPA1	DisGeNet
C0917816	Deficiency mental	FOXP1	DisGeNet
C0917816	Deficiency mental	AAAS	DisGeNet
C0917816	Deficiency mental	PDHX	DisGeNet
C0917816	Deficiency mental	ACTB	DisGeNet
C0917816	Deficiency mental	NDUFA9	DisGeNet
C0917816	Deficiency mental	ZNF711	DisGeNet
C0917816	Deficiency mental	POMT2	DisGeNet
C0917816	Deficiency mental	DGCR8	DisGeNet
C0917816	Deficiency mental	NAGLU	DisGeNet
